fips,age_adjusted
30075,664.2
30077,845.6
30079,770.2
30081,716.8
30083,835.3
30085,1262.5
30087,960.7
30089,789.9
30091,836.3
30093,930.3
30095,730.5
30097,641.3
30099,690.4
30101,811.1
30103,624.2
30105,756.8
30107,753.2
30109,893.9
30111,781.1
31001,736.7
31003,656.6
31005,642
31007,398.1
31009,639
31011,673.1
31013,806.8
31015,735.9
31017,671.1
31019,708.8
31021,798.8
31023,770.5
31025,774
31027,657.1
31029,775.5
31031,695.9
31033,767.5
31035,792.9
31037,664.7
31039,644.3
31041,754.4
31043,822.8
31045,746.3
31047,762
31049,736.2
31051,737.9
31053,787.1
31055,789.2
31057,783.2
31059,777.9
31061,779.8
31063,546
31065,818.2
31067,787.2
31069,815.5
31071,785.3
31073,740.3
31075,783.5
31077,686.1
31079,791.7
31081,706.5
31083,699.4
31085,489
31087,821.8
31089,710.1
31091,681.7
31093,717.1
31095,779.2
31097,757.6
31099,733.3
31101,761.8
31103,510.4
31105,853.8
31107,757.7
31109,706
31111,775
31113,759.7
31115,688.1
31117,460
31119,781.3
31121,745.1
31123,818.4
31125,889
31127,789.8
31129,751.2
31131,717.1
31133,741.4
31135,685
31137,735.2
31139,712.8
31141,684.4
31143,678.9
31145,760.1
31147,842.3
31149,734
31151,777
31153,696.2
31155,747.7
31157,851.3
31159,754.3
31161,785.5
31163,734.4
31165,394.7
31167,655.6
31169,770.3
31171,589.7
31173,1129.4
31175,702.1
31177,712.6
31179,558.6
31181,839.4
31183,557.6
31185,702.9
32001,941.1
32003,802.1
32005,641.6
32007,786.9
32009,809.6
32011,727.3
32013,894.7
32015,849.9
32017,807.4
32019,909.2
32021,1082.6
32023,1023.1
32027,789.2
32029,525.2
32031,819.6
32033,845.7
32510,956.4
33001,796.9
33003,688.8
33005,742.7
33007,852.8
33009,677.2
33011,731.6
33013,731.7
33015,698.8
33017,778.3
33019,751.4
34001,858.7
34003,617.3
34005,755.8
34007,844.2
34009,839.2
34011,931.1
34013,797.5
34015,849.2
34017,716.7
34019,616
34021,728.3
34023,678
34025,733.9
34027,640.1
34029,763.2
34031,741.8
34033,898.6
34035,635.1
34037,763.8
34039,703.2
34041,741.3
35001,764.3
35003,646.8
35005,889.1
35006,884.3
35007,761.2
35009,866.4
35011,844.6
35013,721.4
35015,916.5
35017,781.3
35019,822.2
35021,539.1
35023,822.4
35025,911.6
35027,670
35028,534.5
35029,877.4
35031,973.3
35033,718.3
35035,803.5
35037,966.9
35039,900.3
35041,836.7
35043,699.7
35045,816.1
35047,832
35049,625.6
35051,1006.5
35053,859.5
35055,670
35057,825.9
35059,803
35061,817.4
36001,744.2
36003,808.7
36005,775
36007,775.3
36009,842.7
36011,729.9
36013,805.8
36015,837.7
36017,832.6
36019,779.5
36021,752.3
36023,817.1
36025,770.1
36027,706.8
36029,808.2
36031,737.3
36033,802.8
36035,802.7
36037,784.7
36039,804.1
36041,799.7
36043,773
36045,803.4
36047,683
36049,731
36051,721.2
36053,728
36055,720.3
36057,823.5
36059,629.1
36061,597.5
36063,835.8
36065,790.5
36067,749.2
36069,732.2
36071,744.8
36073,813.4
36075,834.5
36077,731.7
36079,649.9
36081,613
36083,812.2
36085,736
36087,628.5
36089,824.8
36091,674.7
36093,757.8
36095,708.9
36097,786.5
36099,764.9
36101,806.3
36103,710.7
36105,842.2
36107,723.1
36109,675.2
36111,728.1
36113,742.1
36115,797.7
36117,775.6
36119,604.3
36121,796.9
36123,785.1
37001,846.7
37003,841.7
37005,815.5
37007,967.6
37009,809.7
37011,838.9
37013,909.5
37015,937.4
37017,985
37019,758.9
37021,782.3
37023,864.5
37025,839
37027,927.6
37029,777.8
37031,819.5
37033,905.6
37035,898.9
37037,645.3
37039,850.1
37041,869.9
37043,782.4
37045,1006.1
37047,1043.2
37049,862.7
37051,911.9
